ORDER_NUMBER,RETAILER_NAME,RETAILER_SITE_CODE,RETAILER_CONTACT_CODE,SALES_STAFF_CODE,SALES_BRANCH_CODE,ORDER_DATE,ORDER_METHOD_CODE
1199,VIP Department Stores,11,22,43,17,2022-04-09,3
1200,VIP Department Stores,11,22,43,17,2022-10-21,7
1201,VIP Department Stores,12,69,46,17,2022-03-21,7
1202,VIP Department Stores,12,69,46,17,2022-10-23,7
1204,Sunglass Corner,15,71,43,17,2022-10-09,1
1205,Falcon Outfitters,21,32,43,17,2022-04-23,4
1206,Falcon Outfitters,21,32,43,17,2022-10-04,7
1207,Act'N'Up Fitness,28,31,46,17,2022-04-04,2
1208,Act'N'Up Fitness,28,31,46,17,2022-09-18,2
1209,Rock Steady,1,30,43,17,2023-03-19,7
1210,Rock Steady,1,30,43,17,2023-10-05,7
1211,Ultra Sports,7,23,44,17,2023-03-14,2
1212,Ultra Sports,7,23,44,17,2023-09-14,2
1213,Mountain Madness,8,67,44,17,2023-03-30,2
1214,Mountain Madness,8,67,46,17,2023-10-18,5
1215,VIP Department Stores,10,9,44,17,2023-03-26,5
1216,VIP Department Stores,10,9,44,17,2023-09-14,4
1217,VIP Department Stores,11,22,44,17,2023-03-26,4
1218,VIP Department Stores,11,22,46,17,2023-10-12,1
1219,VIP Department Stores,12,69,43,17,2023-03-29,7
1220,VIP Department Stores,12,69,43,17,2023-09-17,5
1221,Sunglass Corner,15,71,44,17,2023-04-16,2
1223,Falcon Outfitters,21,32,43,17,2023-03-28,5
1224,Falcon Outfitters,21,32,43,17,2023-09-17,5
1225,Act'N'Up Fitness,28,31,44,17,2023-04-25,7
1226,Act'N'Up Fitness,28,31,44,17,2023-10-22,2
1227,Rock Steady,1,30,43,17,2024-04-22,1
1228,Rock Steady,1,30,46,17,2024-09-26,5
1229,Ultra Sports,7,23,43,17,2024-03-30,1
1231,Mountain Madness,8,67,44,17,2024-03-17,2
1232,Mountain Madness,8,67,44,17,2024-09-24,7
1233,VIP Department Stores,10,9,44,17,2024-03-15,4
1235,VIP Department Stores,11,22,44,17,2024-04-01,5
1236,VIP Department Stores,11,22,44,17,2024-09-11,4
1237,VIP Department Stores,12,69,46,17,2024-03-16,7
1238,VIP Department Stores,12,69,46,17,2024-09-28,5
1239,Sunglass Corner,15,71,46,17,2024-03-17,3
1241,Falcon Outfitters,21,32,44,17,2024-04-20,5
1243,Act'N'Up Fitness,28,31,44,17,2024-03-18,4
1244,Act'N'Up Fitness,28,31,44,17,2024-09-20,5
1245,Rock Steady,2,7,51,18,2023-04-04,7
1246,Rock Steady,2,7,51,18,2023-09-14,4
1247,Rock Steady,3,16,51,18,2023-04-16,4
1248,Rock Steady,3,16,51,18,2023-10-21,7
1249,Ultra Sports,4,6,49,18,2023-04-02,5
1250,Ultra Sports,4,6,49,18,2023-09-25,7
1251,Ultra Sports,5,65,49,18,2023-04-16,2
1252,Ultra Sports,5,65,49,18,2023-09-23,2
1253,Ultra Sports,6,66,50,18,2023-04-03,7
1254,Ultra Sports,6,66,50,18,2023-09-21,4
1255,VIP Department Stores,9,68,50,18,2023-04-23,2
1256,VIP Department Stores,9,68,50,18,2023-09-30,3
1257,VIP Department Stores,13,70,50,18,2023-03-25,5
1258,VIP Department Stores,13,70,50,18,2023-10-14,7
1259,Le Golfeur,14,10,49,18,2023-04-13,4
1260,Le Golfeur,14,10,49,18,2023-09-16,5
1261,Sunglass Corner,16,72,49,18,2023-04-28,2
1262,Sunglass Corner,16,72,49,18,2023-10-10,4
1263,Falcon Outfitters,17,73,50,18,2023-03-19,5
1264,Falcon Outfitters,17,73,50,18,2023-09-12,5
1265,Falcon Outfitters,18,74,52,18,2023-03-23,4
1266,Falcon Outfitters,18,74,52,18,2023-09-09,7
1267,Falcon Outfitters,19,4,49,18,2023-04-15,2
1268,Falcon Outfitters,19,4,49,18,2023-10-10,7
1269,Falcon Outfitters,20,17,50,18,2023-03-22,5
1270,Falcon Outfitters,20,17,50,18,2023-09-07,7
1271,Maximum Sports,22,75,50,18,2023-03-27,2
1272,Maximum Sports,22,75,50,18,2023-09-05,2
1273,Maximum Sports,23,5,50,18,2023-03-24,5
1274,Maximum Sports,23,5,50,18,2023-10-02,4
1275,Maximum Sports,24,76,49,18,2023-03-19,2
1276,Maximum Sports,24,76,49,18,2023-09-06,7
1277,Maximum Sports,25,11,50,18,2023-04-07,2
1278,Maximum Sports,25,11,50,18,2023-09-30,4
1279,Maximum Sports,26,77,51,18,2023-04-24,5
1280,Maximum Sports,26,77,51,18,2023-09-29,4
1281,Act'N'Up Fitness,27,13,50,18,2023-04-13,4
1282,Act'N'Up Fitness,27,13,50,18,2023-10-14,2
1283,Act'N'Up Fitness,29,15,50,18,2023-03-30,3
1284,Act'N'Up Fitness,29,15,50,18,2023-10-08,2
1285,Act'N'Up Fitness,30,14,50,18,2023-04-17,8
1286,Act'N'Up Fitness,30,14,50,18,2023-10-23,5
1287,Rock Steady,2,7,50,18,2024-04-29,2
1289,Rock Steady,3,16,50,18,2024-04-04,2
1290,Rock Steady,3,16,50,18,2024-09-20,5
1291,Ultra Sports,4,6,50,18,2024-04-04,2
1293,Ultra Sports,5,65,50,18,2024-03-17,4
1295,Ultra Sports,6,66,50,18,2024-03-13,7
1296,Ultra Sports,6,66,50,18,2024-09-26,7
1297,VIP Department Stores,9,68,50,18,2024-03-19,1
1299,VIP Department Stores,13,70,50,18,2024-04-10,4
1301,Le Golfeur,14,10,50,18,2024-04-04,7
1305,Falcon Outfitters,17,73,52,18,2024-04-13,7
1306,Falcon Outfitters,17,73,52,18,2024-09-10,4
1307,Falcon Outfitters,18,74,51,18,2024-03-19,5
1308,Falcon Outfitters,18,74,51,18,2024-09-23,2
1309,Falcon Outfitters,19,4,50,18,2024-04-12,5
1310,Falcon Outfitters,19,4,50,18,2024-09-10,7
1311,Falcon Outfitters,20,17,49,18,2024-03-25,5
1312,Falcon Outfitters,20,17,49,18,2024-09-22,7
1313,Maximum Sports,22,75,51,18,2024-04-29,4
1315,Maximum Sports,23,5,50,18,2024-04-19,5
1317,Maximum Sports,24,76,51,18,2024-04-19,3
1318,Maximum Sports,24,76,51,18,2024-09-21,1
1319,Maximum Sports,25,11,51,18,2024-04-05,8
1320,Maximum Sports,25,11,51,18,2024-09-13,7
1321,Maximum Sports,26,77,49,18,2024-03-21,4
1322,Maximum Sports,26,77,49,18,2024-09-20,2
1323,Act'N'Up Fitness,27,13,50,18,2024-03-14,5
1324,Act'N'Up Fitness,27,13,50,18,2024-09-11,4
1325,Act'N'Up Fitness,29,15,50,18,2024-03-15,5
1326,Act'N'Up Fitness,29,15,50,18,2024-09-18,2
1327,Act'N'Up Fitness,30,14,51,18,2024-04-18,1
1328,Act'N'Up Fitness,30,14,51,18,2024-09-12,4
1330,Rock Steady,3,16,49,18,2022-05-31,2
1331,Ultra Sports,4,6,51,18,2022-05-19,2
1332,Ultra Sports,5,65,50,18,2022-06-02,2
1333,Ultra Sports,6,66,51,18,2022-05-15,2
1334,Le Golfeur,14,10,49,18,2022-05-30,7
1336,Falcon Outfitters,17,73,50,18,2022-06-20,4
1337,Falcon Outfitters,18,74,50,18,2022-05-15,2
1338,Falcon Outfitters,19,4,50,18,2022-06-16,7
1339,Falcon Outfitters,20,17,51,18,2022-06-10,3
1340,Maximum Sports,22,75,50,18,2022-06-21,2
1341,Maximum Sports,23,5,51,18,2022-06-27,3
1342,Maximum Sports,24,76,49,18,2022-05-27,7
1343,Maximum Sports,25,11,51,18,2022-05-20,7
1344,Maximum Sports,26,77,49,18,2022-06-13,4
1345,Rock Steady,2,7,49,18,2023-05-27,5
1346,Rock Steady,3,16,50,18,2023-05-22,3
1347,Ultra Sports,4,6,50,18,2023-05-15,7
1348,Ultra Sports,5,65,51,18,2023-05-24,2
1349,Ultra Sports,6,66,50,18,2023-06-22,2
1350,Le Golfeur,14,10,50,18,2023-06-16,7
1352,Falcon Outfitters,17,73,52,18,2023-06-20,2
1353,Falcon Outfitters,18,74,49,18,2023-05-25,2
1354,Falcon Outfitters,19,4,50,18,2023-05-23,7
1355,Falcon Outfitters,20,17,49,18,2023-06-04,5
1356,Maximum Sports,22,75,51,18,2023-06-15,1
1357,Maximum Sports,23,5,49,18,2023-06-02,5
1358,Maximum Sports,24,76,50,18,2023-06-04,2
1359,Maximum Sports,25,11,50,18,2023-06-30,4
1360,Maximum Sports,26,77,52,18,2023-05-29,7
1361,Rock Steady,2,7,49,18,2024-05-14,2
1362,Rock Steady,3,16,51,18,2024-06-23,7
1363,Ultra Sports,4,6,49,18,2024-06-28,2
1364,Ultra Sports,5,65,51,18,2024-05-26,5
1365,Ultra Sports,6,66,51,18,2024-06-18,5
1366,Le Golfeur,14,10,50,18,2024-06-23,5
1368,Falcon Outfitters,17,73,50,18,2024-05-20,4
1369,Falcon Outfitters,18,74,52,18,2024-06-04,2
1370,Falcon Outfitters,19,4,50,18,2024-05-13,5
1371,Falcon Outfitters,20,17,51,18,2024-06-02,3
1372,Maximum Sports,22,75,50,18,2024-06-11,7
1373,Maximum Sports,23,5,50,18,2024-06-04,4
1374,Maximum Sports,24,76,49,18,2024-06-14,7
1375,Maximum Sports,25,11,50,18,2024-06-24,2
1376,Maximum Sports,26,77,50,18,2024-06-04,5
1410,VIP Department Stores,9,68,50,18,2022-08-03,2
1411,VIP Department Stores,13,70,50,18,2022-08-02,7
1412,Falcon Outfitters,17,73,49,18,2022-07-07,4
1413,Falcon Outfitters,18,74,50,18,2022-07-09,2
1414,Falcon Outfitters,19,4,49,18,2022-07-31,5
1415,Falcon Outfitters,20,17,51,18,2022-07-23,4
1416,Maximum Sports,22,75,49,18,2022-07-30,1
1417,Maximum Sports,23,5,50,18,2022-07-19,5
1418,Maximum Sports,24,76,51,18,2022-07-20,7
1419,Maximum Sports,25,11,49,18,2022-08-20,2
1420,Maximum Sports,26,77,51,18,2022-08-11,5
1421,VIP Department Stores,9,68,49,18,2023-08-12,5
1422,VIP Department Stores,13,70,50,18,2023-08-08,5
1423,Falcon Outfitters,17,73,51,18,2023-08-01,7
1424,Falcon Outfitters,18,74,50,18,2023-08-07,4
1425,Falcon Outfitters,19,4,50,18,2023-08-10,7
1426,Falcon Outfitters,20,17,52,18,2023-08-24,2
1427,Maximum Sports,22,75,50,18,2023-07-21,2
1428,Maximum Sports,23,5,50,18,2023-08-15,5
1429,Maximum Sports,24,76,52,18,2023-07-13,7
1430,Maximum Sports,25,11,52,18,2023-07-07,5
1431,Maximum Sports,26,77,49,18,2023-08-21,7
1432,VIP Department Stores,9,68,51,18,2024-08-09,5
1433,VIP Department Stores,13,70,51,18,2024-07-30,2
1434,Falcon Outfitters,17,73,50,18,2024-08-18,4
1435,Falcon Outfitters,18,74,49,18,2024-07-25,5
1436,Falcon Outfitters,19,4,51,18,2024-08-06,7
1437,Falcon Outfitters,20,17,50,18,2024-07-26,7
1439,Maximum Sports,23,5,50,18,2024-07-24,1
1440,Maximum Sports,24,76,52,18,2024-07-12,7
1441,Maximum Sports,25,11,50,18,2024-08-11,2
1442,Maximum Sports,26,77,51,18,2024-07-31,7
1443,Falcon Outfitters,17,73,51,18,2022-10-05,2
1444,Falcon Outfitters,18,74,50,18,2022-10-20,7
1445,Falcon Outfitters,19,4,50,18,2022-10-18,8
1446,Falcon Outfitters,20,17,50,18,2022-10-09,2
1447,Act'N'Up Fitness,27,13,50,18,2022-10-09,4
1448,Act'N'Up Fitness,29,15,50,18,2022-10-17,3
1449,Act'N'Up Fitness,30,14,50,18,2022-10-06,2
1450,Falcon Outfitters,17,73,51,18,2023-10-10,5
1451,Falcon Outfitters,18,74,50,18,2023-10-13,4
1452,Falcon Outfitters,19,4,49,18,2023-10-13,3
1453,Falcon Outfitters,20,17,51,18,2023-10-12,2
1454,Act'N'Up Fitness,27,13,51,18,2023-10-15,7
1455,Act'N'Up Fitness,29,15,51,18,2023-10-19,4
1456,Act'N'Up Fitness,30,14,51,18,2023-10-06,7
1466,Ultra Sports,4,6,51,18,2022-01-11,7
1467,Ultra Sports,5,65,51,18,2022-02-19,2
1468,Ultra Sports,6,66,49,18,2022-02-22,1
1469,VIP Department Stores,9,68,50,18,2022-02-25,7
1470,VIP Department Stores,13,70,51,18,2022-01-16,4
1471,Falcon Outfitters,17,73,50,18,2022-02-27,7
1472,Falcon Outfitters,18,74,50,18,2022-01-10,2
1473,Falcon Outfitters,19,4,50,18,2022-02-26,4
1474,Falcon Outfitters,20,17,50,18,2022-02-21,4
1475,Maximum Sports,22,75,51,18,2022-01-17,5
1476,Maximum Sports,23,5,50,18,2022-01-10,2
1477,Maximum Sports,24,76,49,18,2022-02-05,5
1478,Maximum Sports,25,11,50,18,2022-01-12,2
1479,Maximum Sports,26,77,51,18,2022-01-19,7
1480,Act'N'Up Fitness,27,13,50,18,2022-02-13,4
1481,Act'N'Up Fitness,29,15,50,18,2022-02-01,5
1482,Act'N'Up Fitness,30,14,51,18,2022-01-17,3
1483,Rock Steady,2,7,50,18,2023-02-08,2
1484,Rock Steady,3,16,50,18,2023-02-14,4
1485,Ultra Sports,4,6,50,18,2023-01-31,2
1486,Ultra Sports,5,65,50,18,2023-01-19,2
1487,Ultra Sports,6,66,51,18,2023-01-13,8
1488,VIP Department Stores,9,68,50,18,2023-01-18,7
1489,VIP Department Stores,13,70,52,18,2023-01-04,3
1490,Falcon Outfitters,17,73,50,18,2023-02-21,7
1491,Falcon Outfitters,18,74,50,18,2023-02-06,2
1492,Falcon Outfitters,19,4,50,18,2023-02-10,2
1493,Falcon Outfitters,20,17,52,18,2023-02-25,7
1494,Maximum Sports,22,75,50,18,2023-01-14,2
1495,Maximum Sports,23,5,52,18,2023-01-06,5
1496,Maximum Sports,24,76,51,18,2023-01-23,2
1497,Maximum Sports,25,11,49,18,2023-02-10,2
1498,Maximum Sports,26,77,50,18,2023-01-20,7
1499,Act'N'Up Fitness,27,13,51,18,2023-01-23,4
1500,Act'N'Up Fitness,29,15,50,18,2023-01-22,3
1501,Act'N'Up Fitness,30,14,52,18,2023-02-06,7
1502,Rock Steady,2,7,50,18,2024-01-23,2
1503,Rock Steady,3,16,50,18,2024-02-13,5
1504,Ultra Sports,4,6,50,18,2024-01-15,5
1505,Ultra Sports,5,65,50,18,2024-02-04,4
1506,Ultra Sports,6,66,50,18,2024-02-27,5
1507,VIP Department Stores,9,68,50,18,2024-01-07,4
1508,VIP Department Stores,13,70,51,18,2024-02-18,5
1509,Falcon Outfitters,17,73,52,18,2024-01-31,4
1510,Falcon Outfitters,18,74,50,18,2024-02-15,2
1511,Falcon Outfitters,19,4,49,18,2024-01-21,4
1512,Falcon Outfitters,20,17,49,18,2024-02-08,5
1513,Maximum Sports,22,75,51,18,2024-02-27,7
1514,Maximum Sports,23,5,50,18,2024-01-29,7
1515,Maximum Sports,24,76,49,18,2024-01-30,2
1516,Maximum Sports,25,11,50,18,2024-01-22,5
1517,Maximum Sports,26,77,50,18,2024-01-28,5
1518,Act'N'Up Fitness,27,13,52,18,2024-01-07,7
1519,Act'N'Up Fitness,29,15,50,18,2024-01-14,5
1520,Act'N'Up Fitness,30,14,50,18,2024-02-19,5
1523,Ultra Sports,4,6,50,18,2022-12-10,7
1524,Ultra Sports,5,65,50,18,2022-11-12,2
1525,Ultra Sports,6,66,49,18,2022-12-22,7
1526,VIP Department Stores,9,68,51,18,2022-12-11,7
1527,VIP Department Stores,13,70,50,18,2022-12-18,4
1528,Le Golfeur,14,10,50,18,2022-12-06,5
1529,Falcon Outfitters,17,73,51,18,2022-12-08,4
1530,Falcon Outfitters,18,74,49,18,2022-11-16,7
1531,Falcon Outfitters,19,4,51,18,2022-11-25,4
1532,Falcon Outfitters,20,17,51,18,2022-11-07,3
1533,Maximum Sports,22,75,51,18,2022-11-15,3
1534,Maximum Sports,23,5,49,18,2022-12-03,7
1535,Maximum Sports,24,76,50,18,2022-11-18,1
1536,Maximum Sports,25,11,50,18,2022-11-12,2
1537,Maximum Sports,26,77,49,18,2022-12-04,2
1538,Rock Steady,2,7,50,18,2023-12-11,7
1539,Rock Steady,3,16,50,18,2023-11-26,5
1540,Ultra Sports,4,6,50,18,2023-12-05,1
1541,Ultra Sports,5,65,50,18,2023-11-28,7
1542,Ultra Sports,6,66,49,18,2023-12-12,5
1543,VIP Department Stores,9,68,50,18,2023-11-28,2
1544,VIP Department Stores,13,70,50,18,2023-11-24,2
1545,Le Golfeur,14,10,49,18,2023-12-11,2
1546,Falcon Outfitters,17,73,52,18,2023-12-02,4
1547,Falcon Outfitters,18,74,52,18,2023-11-13,5
1548,Falcon Outfitters,19,4,50,18,2023-12-18,2
1549,Falcon Outfitters,20,17,49,18,2023-12-23,5
1550,Maximum Sports,22,75,50,18,2023-11-18,3
1551,Maximum Sports,23,5,49,18,2023-12-21,5
1552,Maximum Sports,24,76,52,18,2023-12-24,4
1553,Maximum Sports,25,11,49,18,2023-11-12,7
1554,Maximum Sports,26,77,51,18,2023-11-24,2
1573,Ultra Sports,7,23,44,17,2022-05-14,7
1575,Sunglass Corner,15,71,44,17,2022-05-30,2
1576,Falcon Outfitters,21,32,43,17,2022-06-26,4
1577,Rock Steady,1,30,44,17,2023-05-24,1
1578,Ultra Sports,7,23,44,17,2023-05-30,3
1579,Mountain Madness,8,67,44,17,2023-05-26,2
1581,Falcon Outfitters,21,32,44,17,2023-06-29,7
1582,Rock Steady,1,30,46,17,2024-06-24,8
1583,Ultra Sports,7,23,43,17,2024-06-03,7
1584,Mountain Madness,8,67,44,17,2024-05-13,5
1585,Sunglass Corner,15,71,44,17,2024-06-20,4
1586,Falcon Outfitters,21,32,46,17,2024-06-28,4
1588,Ultra Sports,7,23,43,17,2022-02-19,3
1589,Mountain Madness,8,67,43,17,2022-02-22,7
1590,VIP Department Stores,10,9,43,17,2022-01-12,7
1591,VIP Department Stores,11,22,44,17,2022-02-13,4
1592,VIP Department Stores,12,69,44,17,2022-01-08,3
1593,Sunglass Corner,15,71,46,17,2022-01-21,7
1594,Falcon Outfitters,21,32,46,17,2022-02-18,3
1595,Act'N'Up Fitness,28,31,43,17,2022-01-12,5
1597,Ultra Sports,7,23,44,17,2023-01-25,4
1598,Mountain Madness,8,67,44,17,2023-01-19,7
1599,VIP Department Stores,10,9,46,17,2023-02-18,7
1600,VIP Department Stores,11,22,44,17,2023-02-07,7
1601,VIP Department Stores,12,69,44,17,2023-02-03,5
1602,Sunglass Corner,15,71,43,17,2023-01-12,2
1603,Falcon Outfitters,21,32,44,17,2023-02-11,3
1604,Act'N'Up Fitness,28,31,44,17,2023-02-18,4
1605,Rock Steady,1,30,44,17,2024-01-11,4
1606,Ultra Sports,7,23,43,17,2024-01-09,2
1608,VIP Department Stores,10,9,43,17,2024-01-15,5
1609,VIP Department Stores,11,22,46,17,2024-01-05,5
1610,VIP Department Stores,12,69,44,17,2024-02-11,4
1611,Sunglass Corner,15,71,44,17,2024-02-09,5
1612,Falcon Outfitters,21,32,44,17,2024-01-19,5
1613,Act'N'Up Fitness,28,31,44,17,2024-02-15,5
1614,Rock Steady,1,30,46,17,2022-12-20,7
1615,Ultra Sports,7,23,43,17,2022-11-06,7
1617,VIP Department Stores,10,9,43,17,2022-12-24,7
1618,VIP Department Stores,11,22,46,17,2022-12-20,2
1619,VIP Department Stores,12,69,43,17,2022-11-07,2
1620,Falcon Outfitters,21,32,44,17,2022-12-06,7
1621,Rock Steady,1,30,43,17,2023-11-19,7
1622,Ultra Sports,7,23,44,17,2023-11-16,7
1623,Mountain Madness,8,67,46,17,2023-12-15,2
1624,VIP Department Stores,10,9,46,17,2023-12-11,7
1625,VIP Department Stores,11,22,46,17,2023-12-06,7
1626,VIP Department Stores,12,69,43,17,2023-11-30,3
1627,Falcon Outfitters,21,32,44,17,2023-12-12,4
1635,VIP Department Stores,10,9,43,17,2022-08-14,5
1636,VIP Department Stores,11,22,43,17,2022-07-17,7
1637,VIP Department Stores,12,69,43,17,2022-07-29,7
1638,Falcon Outfitters,21,32,44,17,2022-08-16,7
1639,VIP Department Stores,10,9,44,17,2023-07-18,7
1640,VIP Department Stores,11,22,44,17,2023-07-31,8
1641,VIP Department Stores,12,69,43,17,2023-08-17,8
1642,Falcon Outfitters,21,32,46,17,2023-07-23,5
1643,VIP Department Stores,10,9,44,17,2024-07-14,7
1644,VIP Department Stores,11,22,46,17,2024-07-11,5
1645,VIP Department Stores,12,69,43,17,2024-07-29,7
1646,Falcon Outfitters,21,32,44,17,2024-07-30,4
1647,Falcon Outfitters,21,32,43,17,2022-10-16,2
1648,Act'N'Up Fitness,28,31,43,17,2022-10-06,4
1649,Falcon Outfitters,21,32,46,17,2023-10-07,5
1650,Act'N'Up Fitness,28,31,44,17,2023-10-23,5
1654,Advanced Climbing Ltd,31,218,50,18,2023-04-25,2
1655,Falcon Outfitters,17,218,52,18,2024-04-24,5
1657,Advanced Climbing Ltd,31,218,51,18,2023-09-15,2
1660,Advanced Climbing Ltd,31,218,51,18,2023-06-11,5
1661,Falcon Outfitters,19,218,52,18,2024-06-05,4
1663,Advanced Climbing Ltd,31,218,49,18,2023-01-04,4
1664,Falcon Outfitters,20,218,49,18,2024-01-27,2
1665,Advanced Climbing Ltd,31,218,49,18,2022-12-08,3
1666,Advanced Climbing Ltd,31,218,49,18,2023-12-02,4
1668,Der Fitness-Doktor,33,42,15,13,2022-09-18,3
1669,Der Fitness-Doktor,33,42,15,13,2022-03-17,7
1671,Der Fitness-Doktor,34,36,15,13,2022-04-06,1
1672,Der Fitness-Doktor,35,49,15,13,2022-09-26,2
1673,Der Fitness-Doktor,35,49,12,13,2022-03-29,5
1674,Der Fitness-Doktor,63,59,12,13,2022-10-16,7
1675,Der Fitness-Doktor,63,59,12,13,2022-04-27,2
1676,Sport & Freizeit,36,52,15,13,2022-08-31,7
1677,Sport & Freizeit,36,52,15,13,2022-03-22,2
1678,Sport & Freizeit,38,43,12,13,2022-09-16,2
1679,Sport & Freizeit,38,43,12,13,2022-04-29,2
1680,Sport & Freizeit,40,60,12,13,2022-09-09,3
1681,Sport & Freizeit,40,60,12,13,2022-03-19,2
1682,Holstein Golf,42,63,12,13,2022-09-27,2
1683,Holstein Golf,42,63,12,13,2022-04-11,7
1684,Holstein Golf,46,61,12,13,2022-10-11,5
1685,Holstein Golf,46,61,12,13,2022-04-03,5
1686,Die Zeltstadt,47,40,15,13,2022-09-08,4
1687,Die Zeltstadt,47,40,15,13,2022-04-16,7
1688,Die Zeltstadt,48,57,12,13,2022-09-19,1
1689,Die Zeltstadt,48,57,12,13,2022-03-27,2
1690,Die Zeltstadt,49,50,12,13,2022-09-19,3
1691,Die Zeltstadt,49,50,12,13,2022-04-08,2
1692,Die Zeltstadt,51,41,12,13,2022-09-05,5
1693,Die Zeltstadt,51,41,12,13,2022-04-19,5
1694,Extrem!,52,33,12,13,2022-09-17,2
1695,Extrem!,52,33,12,13,2022-03-23,7
1696,Extrem!,53,62,15,13,2022-09-21,2
1697,Extrem!,53,62,15,13,2022-03-28,5
1698,Extrem!,55,53,12,13,2022-10-05,4
1699,Extrem!,55,53,12,13,2022-03-31,2
1701,Rad und Tat,60,55,15,13,2022-04-23,2
1702,Weitblick,61,58,12,13,2022-09-17,5
1704,Der Fitness-Doktor,33,42,12,13,2023-09-23,4
1705,Der Fitness-Doktor,33,42,12,13,2023-03-16,5
1706,Der Fitness-Doktor,34,36,15,13,2023-10-09,2
1707,Der Fitness-Doktor,34,36,15,13,2023-04-05,5
1708,Der Fitness-Doktor,35,49,12,13,2023-10-01,2
1709,Der Fitness-Doktor,35,49,15,13,2023-03-28,4
1710,Der Fitness-Doktor,63,59,12,13,2023-10-21,5
1711,Der Fitness-Doktor,63,59,12,13,2023-04-26,2
1712,Sport & Freizeit,36,52,15,13,2023-09-05,1
1713,Sport & Freizeit,36,52,15,13,2023-03-21,7
1714,Sport & Freizeit,38,43,12,13,2023-09-21,2
1715,Sport & Freizeit,38,43,12,13,2023-04-28,2
1716,Sport & Freizeit,40,60,12,13,2023-09-14,2
1717,Sport & Freizeit,40,60,12,13,2023-03-18,5
1718,Holstein Golf,42,63,12,13,2023-10-02,7
1719,Holstein Golf,42,63,12,13,2023-04-10,1
1720,Holstein Golf,46,61,12,13,2023-10-16,7
1721,Holstein Golf,46,61,12,13,2023-04-02,7
1722,Die Zeltstadt,47,40,15,13,2023-09-13,7
1723,Die Zeltstadt,47,40,15,13,2023-04-15,5
1724,Die Zeltstadt,48,57,12,13,2023-09-24,5
1725,Die Zeltstadt,48,57,12,13,2023-03-26,2
1726,Die Zeltstadt,49,50,12,13,2023-09-24,2
1727,Die Zeltstadt,49,50,12,13,2023-04-07,2
1728,Die Zeltstadt,51,41,15,13,2023-09-10,7
1729,Die Zeltstadt,51,41,15,13,2023-04-18,5
1730,Extrem!,52,33,12,13,2023-09-22,7
1731,Extrem!,52,33,12,13,2023-03-22,7
1732,Extrem!,53,62,15,13,2023-09-26,7
1733,Extrem!,53,62,15,13,2023-03-27,7
1734,Extrem!,55,53,12,13,2023-10-10,4
1735,Extrem!,55,53,12,13,2023-03-30,2
1736,Rad und Tat,60,55,15,13,2023-09-19,2
1737,Rad und Tat,60,55,15,13,2023-04-22,2
