ORDER_DETAIL_CODE,ORDER_NUMBER,PRODUCT_NUMBER,QUANTITY,UNIT_COST,UNIT_PRICE,UNIT_SALE_PRICE
47972,1341,30,48,7.38,14.77,14.77
47973,1179,30,40,7.38,14.77,14.77
47974,1342,30,38,7.38,14.77,14.77
47975,1418,30,82,7.38,14.77,14.77
47976,1636,30,78,7.38,14.77,14.77
47977,1534,30,42,7.38,14.77,14.77
47978,1340,30,36,7.38,14.77,12.93
47979,1590,30,44,7.38,14.77,14.77
47980,1197,31,94,8.14,16.29,16.29
47981,1533,31,132,8.14,16.29,16.29
47982,1475,31,132,8.14,16.29,16.29
47983,1479,31,68,8.14,16.29,16.29
47984,1178,31,74,8.14,16.29,16.29
47985,1198,31,108,8.14,16.29,16.29
47986,1635,31,74,8.14,16.29,16.29
47987,1478,32,222,18.25,27.37,25.1
47988,1344,32,80,18.25,27.37,27.37
47989,1526,32,290,18.25,27.37,22.46
47990,1172,32,108,18.25,27.37,27.37
47991,1475,32,298,18.25,27.37,27.37
47992,1412,32,206,18.25,27.37,23.87
47993,1197,32,140,18.25,27.37,27.37
47994,1153,32,254,18.25,27.37,25.1
47995,1636,33,292,19.62,29.44,29.44
47996,1479,33,348,19.62,29.44,27.97
47997,1647,33,152,19.62,29.44,29.44
47998,1411,33,208,19.62,29.44,26.97
47999,1526,33,298,19.62,29.44,27.77
48000,1420,33,118,19.62,29.44,29.44
48001,1535,33,192,19.62,29.44,29.44
48002,1412,34,212,32.02,51.24,51.24
48003,1154,34,104,32.02,51.24,51.24
48004,1172,34,140,32.02,51.24,51.24
48005,1647,34,82,32.02,51.24,51.24
48006,1466,34,104,32.02,51.24,51.24
48007,1615,34,126,32.02,51.24,51.24
48008,1332,34,186,32.02,51.24,46.43
48009,1573,34,108,32.02,51.24,51.24
48010,1576,34,70,32.02,51.24,51.24
48011,1171,34,132,32.02,51.24,46.43
48012,1525,35,88,19.67,26.54,26.54
48013,1158,35,94,19.67,26.54,24.82
48014,1156,35,94,19.67,26.54,26.54
48015,1153,35,114,19.67,26.54,24.82
48016,1531,35,196,19.67,26.54,26.54
48017,1474,35,174,19.67,26.54,24.82
48018,1333,35,192,19.67,26.54,26.54
48019,1576,35,88,19.67,26.54,26.54
48020,1471,36,194,21.03,34.9,31.44
48021,1525,36,190,21.03,34.9,34.9
48022,1153,36,130,21.03,34.9,31.44
48023,1468,36,126,21.03,34.9,34.9
48024,1168,36,150,21.03,34.9,31.44
48025,1446,36,184,21.03,34.9,31.44
48026,1337,36,56,21.03,34.9,31.44
48027,1333,36,116,21.03,34.9,34.9
48028,1471,37,112,32.59,52.15,47.25
48029,1445,37,86,32.59,52.15,47.25
48030,1174,37,62,32.59,52.15,52.15
48031,1446,37,74,32.59,52.15,47.25
48032,1473,37,94,32.59,52.15,47.25
48033,1155,37,68,32.59,52.15,52.15
48034,1524,37,62,32.59,52.15,47.25
48035,1531,38,58,21.04,31.55,31.55
48036,1467,38,62,21.04,31.55,31.55
48037,1594,38,64,21.04,31.55,31.55
48038,1338,38,64,21.04,31.55,28.93
48039,1171,38,72,21.04,31.55,28.93
48040,1167,38,38,21.04,31.55,28.93
48041,1332,38,54,21.04,31.55,28.93
48042,1620,39,112,42.33,67.73,67.73
48043,1443,39,66,42.33,67.73,67.73
48044,1615,39,94,42.33,67.73,67.73
48045,1594,39,92,42.33,67.73,67.73
48046,1638,39,30,42.33,67.73,67.73
48047,1588,39,88,42.33,67.73,67.73
48048,1331,39,72,42.33,67.73,67.73
48049,1153,39,74,42.33,67.73,61.38
48050,1530,39,58,42.33,67.73,67.73
48051,1594,40,122,20.01,27.81,27.81
48052,1155,40,174,20.01,27.81,27.81
48053,1339,40,170,20.01,27.81,27.81
48054,1331,40,210,20.01,27.81,27.81
48055,1413,40,86,20.01,27.81,25.87
48056,1171,40,142,20.01,27.81,25.87
48057,1525,40,202,20.01,27.81,27.81
48058,1466,40,206,20.01,27.81,23.26
48059,1158,40,196,20.01,27.81,25.87
48060,1205,41,26,27.0,35.09,35.09
48061,1194,41,20,27.0,35.09,35.09
48062,1468,41,30,27.0,35.09,35.09
48063,1594,41,22,27.0,35.09,35.09
48064,1473,41,58,27.0,35.09,33.06
48065,1443,41,46,27.0,35.09,35.09
48066,1647,41,60,27.0,35.09,35.09
48067,1168,41,48,27.0,35.09,33.06
48068,1534,63,76,32.59,48.88,48.88
48069,1185,63,80,32.59,48.88,48.88
48070,1190,63,68,32.59,48.88,44.81
48071,1200,63,98,32.59,48.88,48.88
48072,1162,63,86,32.59,48.88,48.88
48073,1207,63,68,32.59,48.88,48.88
48074,1448,64,200,20.8,41.61,41.61
48075,1618,64,158,20.8,41.61,41.61
48076,1619,64,184,20.8,41.61,41.61
48077,1175,64,96,20.8,41.61,41.61
48078,1161,64,106,20.8,41.61,41.61
48079,1411,64,206,20.8,41.61,36.4
48080,1179,64,146,20.8,41.61,41.61
48081,1619,65,134,40.77,81.55,72.66
48082,1636,65,130,40.77,81.55,81.55
48083,1534,65,64,40.77,81.55,81.55
48084,1480,65,74,40.77,81.55,81.55
48085,1198,65,44,40.77,81.55,81.55
48086,1449,65,72,40.77,81.55,81.55
48087,1343,65,92,40.77,81.55,81.55
48088,1162,65,106,40.77,81.55,81.55
48089,1160,66,46,49.0,98.01,98.01
48090,1469,66,30,49.0,98.01,98.01
48091,1526,66,38,49.0,98.01,98.01
48092,1468,66,42,49.0,98.01,98.01
48093,1590,66,46,49.0,98.01,98.01
48094,1573,66,36,49.0,98.01,98.01
48095,1201,67,42,140.17,294.38,294.38
48096,1162,67,76,140.17,294.38,294.38
48097,1615,67,70,140.17,294.38,209.36
48098,1337,67,66,140.17,294.38,255.83
48099,1531,67,30,140.17,294.38,294.38
48100,1411,67,58,140.17,294.38,255.83
48101,1331,67,34,140.17,294.38,294.38
48102,1619,68,54,47.56,61.84,61.84
48103,1202,68,64,47.56,61.84,61.84
48104,1617,68,12,47.56,61.84,61.84
48105,1526,68,96,47.56,61.84,61.84
48106,1590,68,200,47.56,61.84,61.84
48107,1198,68,12,47.56,61.84,61.84
48108,1199,68,96,47.56,61.84,61.84
48109,1470,68,54,47.56,61.84,61.84
48110,1204,69,2,71.25,106.87,106.87
48111,1198,69,14,71.25,106.87,106.87
48112,1593,69,24,71.25,106.87,106.87
48113,1202,69,12,71.25,106.87,106.87
48114,1527,69,4,71.25,106.87,97.97
48115,1200,69,24,71.25,106.87,106.87
48116,1161,69,36,71.25,106.87,106.87
48117,1165,69,14,71.25,106.87,106.87
48118,1198,70,20,81.8,122.7,122.7
48119,1165,70,44,81.8,122.7,122.7
48120,1160,70,24,81.8,122.7,122.7
48121,1204,70,36,81.8,122.7,122.7
48122,1617,70,24,81.8,122.7,122.7
48123,1637,70,40,81.8,122.7,122.7
48124,1591,70,20,81.8,122.7,122.7
48125,1619,71,32,63.75,95.62,95.62
48126,1591,71,42,63.75,95.62,95.62
48127,1469,71,46,63.75,95.62,95.62
48128,1635,71,42,63.75,95.62,95.62
48129,1575,71,28,63.75,95.62,95.62
48130,1199,71,38,63.75,95.62,95.62
48131,1614,72,24,74.15,148.3,148.3
48132,1593,72,38,74.15,148.3,148.3
48133,1575,72,36,74.15,148.3,148.3
48134,1191,72,26,74.15,148.3,148.3
48135,1665,72,36,74.15,148.3,148.3
48136,1330,72,52,74.15,148.3,148.3
48137,1589,72,28,74.15,148.3,148.3
48138,1189,73,50,9.13,12.78,12.78
48139,1342,73,40,9.13,12.78,12.78
48140,1527,73,66,9.13,12.78,11.86
48141,1162,73,64,9.13,12.78,12.78
48142,1188,73,58,9.13,12.78,11.86
48143,1533,73,88,9.13,12.78,12.78
48144,1537,73,78,9.13,12.78,12.78
48145,1200,73,32,9.13,12.78,12.78
48146,1188,74,66,11.89,16.64,15.46
48147,1176,74,150,11.89,16.64,16.64
48148,1186,74,194,11.89,16.64,16.64
48149,1201,74,142,11.89,16.64,16.64
48150,1527,74,172,11.89,16.64,15.46
48151,1534,74,110,11.89,16.64,16.64
48152,1411,74,60,11.89,16.64,15.46
48153,1590,74,122,11.89,16.64,16.64
48154,1615,75,72,86.73,119.69,119.69
48155,1647,75,104,86.73,119.69,111.79
48156,1336,75,52,86.73,119.69,119.69
48157,1474,75,110,86.73,119.69,111.44
48158,1530,75,86,86.73,119.69,119.69
48159,1206,75,90,86.73,119.69,119.69
48160,1190,76,60,23.84,40.52,36.36
48161,1449,76,56,23.84,40.52,40.52
48162,1482,76,110,23.84,40.52,40.52
48163,1178,76,76,23.84,40.52,40.52
48164,1342,76,104,23.84,40.52,40.52
48165,1187,76,62,23.84,40.52,36.36
48166,1475,76,46,23.84,40.52,40.52
48167,1410,76,122,23.84,40.52,40.52
48168,1179,76,96,23.84,40.52,40.52
48169,1444,77,60,46.13,92.29,80.75
48170,1167,77,96,46.13,92.29,80.75
48171,1594,77,96,46.13,92.29,92.29
48172,1158,77,52,46.13,92.29,80.75
48173,1414,77,64,46.13,92.29,92.29
48174,1576,77,98,46.13,92.29,92.29
48175,1446,77,128,46.13,92.29,80.75
48176,1332,77,82,46.13,92.29,80.75
48177,1182,78,58,84.23,105.29,100.02
48178,1526,78,82,84.23,105.29,105.29
48179,1418,78,94,84.23,105.29,105.29
48180,1162,78,50,84.23,105.29,105.29
48181,1648,78,56,84.23,105.29,105.29
48182,1537,78,68,84.23,105.29,105.29
48183,1190,78,62,84.23,105.29,100.02
48184,1445,79,40,99.34,134.11,125.43
48185,1155,79,30,99.34,134.11,134.11
48186,1537,79,34,99.34,134.11,134.11
48187,1343,79,26,99.34,134.11,134.11
48188,1194,79,28,99.34,134.11,134.11
48189,1476,79,30,99.34,134.11,134.11
48190,1206,79,20,99.34,134.11,134.11
48191,1340,79,24,99.34,134.11,125.43
48192,1445,80,48,107.45,182.67,163.86
48193,1180,80,40,107.45,182.67,182.67
48194,1184,80,54,107.45,182.67,182.67
48195,1413,80,38,107.45,182.67,163.86
48196,1338,80,52,107.45,182.67,163.86
48197,1187,80,42,107.45,182.67,163.86
48198,1477,80,38,107.45,182.67,182.67
48199,1185,80,38,107.45,182.67,182.67
48200,1527,81,34,42.77,85.56,74.87
48201,1590,81,50,42.77,85.56,85.56
48202,1208,81,54,42.77,85.56,85.56
48203,1591,81,38,42.77,85.56,85.56
48204,1534,81,52,42.77,85.56,85.56
48205,1478,81,34,42.77,85.56,74.87
48206,1635,81,40,42.77,85.56,85.56
48207,1185,82,102,21.81,32.72,32.72
48208,1620,82,60,21.81,32.72,32.72
48209,1173,82,70,21.81,32.72,32.72
48210,1443,82,40,21.81,32.72,32.72
48211,1648,82,106,21.81,32.72,32.72
48212,1207,82,86,21.81,32.72,32.72
48213,1530,82,106,21.81,32.72,32.72
48214,1444,82,88,21.81,32.72,30.0
48215,1532,83,60,60.27,96.44,96.44
48216,1474,83,60,60.27,96.44,87.4
48217,1449,83,58,60.27,96.44,96.44
48218,1169,83,52,60.27,96.44,87.4
48219,1413,83,54,60.27,96.44,87.4
48220,1524,83,44,60.27,96.44,87.4
48221,1473,83,48,60.27,96.44,87.4
48222,1588,84,56,83.37,116.73,116.73
48223,1473,84,36,83.37,116.73,108.38
48224,1471,84,22,83.37,116.73,108.38
48225,1638,84,62,83.37,116.73,116.73
48226,1174,84,38,83.37,116.73,116.73
48227,1413,84,52,83.37,116.73,108.38
48228,1525,84,24,83.37,116.73,116.73
48229,1529,84,22,83.37,116.73,116.73
48230,1466,85,38,211.52,359.6,359.6
48231,1531,85,18,211.52,359.6,359.6
48232,1523,85,40,211.52,359.6,359.6
48233,1473,85,38,211.52,359.6,322.58
48234,1415,85,54,211.52,359.6,359.6
48235,1172,85,20,211.52,359.6,359.6
48236,1338,85,36,211.52,359.6,322.58
48237,1186,85,14,211.52,359.6,359.6
48238,1193,86,88,1.86,5.59,5.59
48239,1162,86,120,1.86,5.59,5.59
48240,1338,86,142,1.86,5.59,4.65
48241,1167,86,88,1.86,5.59,4.65
48242,1340,86,160,1.86,5.59,4.65
48243,1590,86,208,1.86,5.59,3.08
48244,1620,86,220,1.86,5.59,5.59
48245,1344,86,240,1.86,5.59,4.01
48246,1478,86,74,1.86,5.59,4.65
48247,1472,87,136,1.83,5.5,5.5
48248,1590,87,360,1.83,5.5,2.86
48249,1182,87,256,1.83,5.5,4.57
48250,1175,87,170,1.83,5.5,5.5
48251,1420,87,130,1.83,5.5,5.5
48252,1474,87,344,1.83,5.5,4.57
48253,1618,87,236,1.83,5.5,5.5
48254,1481,87,224,1.83,5.5,4.57
48255,1207,87,164,1.83,5.5,5.5
48256,1331,88,222,1.88,6.63,6.63
48257,1205,88,304,1.88,6.63,5.86
48258,1414,88,338,1.88,6.63,6.63
48259,1160,88,154,1.88,6.63,6.63
48260,1161,88,300,1.88,6.63,5.44
48261,1186,88,246,1.88,6.63,4.11
48262,1189,88,126,1.88,6.63,6.63
48263,1418,89,346,2.33,6.55,6.55
48264,1615,89,18,2.33,6.55,6.55
48265,1188,89,170,2.33,6.55,5.5
48266,1410,89,412,2.33,6.55,6.55
48267,1415,89,300,2.33,6.55,5.59
48268,1413,89,286,2.33,6.55,5.5
48269,1573,89,604,2.33,6.55,4.44
48270,1169,90,460,2.42,6.78,5.69
48271,1153,90,474,2.42,6.78,5.69
48272,1337,90,520,2.42,6.78,5.69
48273,1468,90,322,2.42,6.78,6.78
48274,1647,90,308,2.42,6.78,6.78
48275,1167,90,408,2.42,6.78,5.69
48276,1413,90,852,2.42,6.78,5.69
48277,1173,90,232,2.42,6.78,5.67
48278,1647,91,112,1.95,4.88,4.88
48279,1576,91,106,1.95,4.88,4.88
48280,1467,91,92,1.95,4.88,4.88
48281,1193,91,132,1.95,4.88,4.88
48282,1156,91,60,1.95,4.88,4.88
48283,1155,91,86,1.95,4.88,4.88
48284,1414,91,124,1.95,4.88,4.88
48285,1468,92,30,1.96,4.92,4.92
48286,1155,92,54,1.96,4.92,4.17
48287,1410,92,36,1.96,4.92,4.92
48288,1338,92,56,1.96,4.92,4.92
48289,1169,92,80,1.96,4.92,4.17
48290,1331,92,30,1.96,4.92,4.92
48291,1418,92,66,1.96,4.92,4.92
48292,1186,92,48,1.96,4.92,4.92
48293,1638,93,134,1.79,4.5,4.5
48294,1588,93,232,1.79,4.5,3.3
48295,1157,93,172,1.79,4.5,3.82
48297,1477,93,380,1.79,4.5,4.26
48298,1418,93,10,1.79,4.5,4.5
48299,1337,93,272,1.79,4.5,3.82
48300,1197,93,150,1.79,4.5,4.5
48301,1413,94,112,1.85,4.63,3.94
48302,1479,94,150,1.85,4.63,4.63
48303,1156,94,182,1.85,4.63,4.63
48304,1157,94,70,1.85,4.63,4.63
48305,1635,94,106,1.85,4.63,4.63
48306,1414,94,96,1.85,4.63,4.63
48307,1416,94,62,1.85,4.63,4.63
48308,1331,94,170,1.85,4.63,4.63
48309,1339,94,58,1.85,4.63,4.63
48310,1174,95,60,2.76,5.55,5.55
48312,1339,95,604,2.76,5.55,5.3
48313,1337,95,328,2.76,5.55,4.84
48314,1169,95,462,2.76,5.55,4.84
48315,1412,95,264,2.76,5.55,4.84
48316,1155,95,376,2.76,5.55,3.72
48317,1638,95,334,2.76,5.55,4.84
48318,1411,96,40,16.1,22.54,22.54
48319,1414,96,20,16.1,22.54,22.54
48320,1592,96,44,16.1,22.54,22.54
48321,1573,96,36,16.1,22.54,22.54
48322,1419,96,30,16.1,22.54,22.54
48323,1161,96,46,16.1,22.54,22.54
48324,1208,96,30,16.1,22.54,22.54
48325,1618,97,14,24.04,33.68,33.68
48326,1415,97,12,24.04,33.68,31.27
48327,1169,97,14,24.04,33.68,31.27
48328,1175,97,18,24.04,33.68,33.68
48329,1208,97,14,24.04,33.68,33.68
48330,1590,97,22,24.04,33.68,33.68
48331,1344,97,18,24.04,33.68,33.68
48332,1573,98,112,2.83,5.69,5.69
48333,1472,98,186,2.83,5.69,5.69
48334,1173,98,98,2.83,5.69,5.69
48335,1157,98,100,2.83,5.69,5.69
48336,1620,98,156,2.83,5.69,5.69
48337,1414,98,154,2.83,5.69,5.69
48338,1339,98,86,2.83,5.69,5.69
48339,1336,98,76,2.83,5.69,5.69
48340,1156,99,90,1.92,4.82,4.82
48341,1169,99,116,1.92,4.82,4.11
48342,1337,99,12,1.92,4.82,4.11
48343,1573,99,46,1.92,4.82,4.82
48344,1331,99,118,1.92,4.82,4.82
48346,1157,99,146,1.92,4.82,4.11
48347,1153,100,254,2.76,5.53,4.84
48348,1332,100,252,2.76,5.53,4.84
48349,1473,100,140,2.76,5.53,4.84
48350,1173,100,344,2.76,5.53,5.26
48351,1194,100,188,2.76,5.53,5.53
48352,1415,100,116,2.76,5.53,5.53
48353,1158,100,178,2.76,5.53,4.84
48354,1638,100,212,2.76,5.53,4.76
48355,1472,100,172,2.76,5.53,5.53
48356,1207,101,8,350.14,630.25,630.25
48357,1187,101,20,350.14,630.25,560.21
48358,1418,101,20,350.14,630.25,578.69
48359,1481,101,22,350.14,630.25,560.21
48360,1342,101,28,350.14,630.25,614.84
48361,1475,101,12,350.14,630.25,630.25
48362,1479,101,34,350.14,630.25,630.25
48363,1188,101,20,350.14,630.25,560.21
48364,1447,101,8,350.14,630.25,630.25
48365,1535,102,8,442.16,928.53,928.53
48366,1477,102,10,442.16,928.53,928.53
48367,1418,102,14,442.16,928.53,663.75
48368,1334,102,10,442.16,928.53,928.53
