PRODUCT_NUMBER,INTRODUCTION_DATE,PRODUCT_TYPE_CODE,PRODUCTION_COST,MARGIN,PRODUCT_IMAGE,LANGUAGE,PRODUCT_NAME,DESCRIPTION
29,1997-03-05,4,41.18,0.4,P29CE1PK4.jpg,EN,Canyon Mule Carryall,"This pack has a large capacity, perfect for carrying all your camping gear.  Solid metal zipper and leather bottom."
30,1997-03-05,5,6.75,0.5,P30CE1LT5.jpg,EN,Firefly Lite,"Lightweight flashlight made from aircraft aluminum. Focusable beam, tail cap push button allows for single-handed operation. Uses two AA batteries, included."
31,1997-03-05,5,7.5,0.5,P31CE1LT5.jpg,EN,Firefly Mapreader,"Clip-on flashlight for map or book reading. Also comes with flexible fiber optic extension. Lightweight, uses only one AA battery, included."
32,1995-02-15,5,16.67,0.33,P32CE1LT5.jpg,EN,Firefly 2,"A high quality aluminum flashlight with Krypton bulb.  Uses two D batteries, included."
33,1997-03-05,5,18.0,0.33,P33CE1LT5.jpg,EN,Firefly 4,"Made of solid plastic construction, adjustable beam (flood to spot), Krypton bulb.  Uses four D batteries, included."
34,2000-10-26,5,28.12,0.37,P34CE1LT5.jpg,EN,Firefly Extreme,"The Firefly Extreme is under 15 cm long yet produces 7,000 candlepower using two lithium batteries and a Xenon bulb. Shock and water resistant. Weight: 135 g."
35,2000-10-26,5,17.78,0.25,P35CE1LT5.jpg,EN,Firefly Multi-light,"This light can be used as either a flashlight or as a lamp. Uses two C batteries, included.  Burn time 7-8 hours. Water-resistant."
36,1995-02-15,5,18.05,0.4,P36CE1LT5.jpg,EN,EverGlow Single,Light output approximates a 100 W bulb. Single mantle regulated. Porcelain dome. Uses 0.5 liter  propane cylinder (not included).
37,1997-03-05,5,28.75,0.37,P37CE1LT5.jpg,EN,EverGlow Double,Light output approximates a 175 W bulb. Double mantle regulated. Porcelain dome. Uses 0.5 liter propane cylinder (not included).
38,1997-03-05,5,20.0,0.33,P38CE1LT5.jpg,EN,EverGlow Kerosene,"One of the most dependable sources of light in an emergency, this lantern is always ready and doesn't need to be recharged. Cotton wick. Height: 30 cm."
39,1997-03-05,5,40.63,0.37,P39CE1LT5.jpg,EN,EverGlow Butane,"Adjustable brightness control with auto ignition. Safely stores in its own protective case.  Approximate burn time 5 hours on one 0.25 liter butane canister, included."
40,1995-02-15,5,17.97,0.28,P40CE1LT5.jpg,EN,EverGlow Lamp,"Perfect for in your tent, this lamp comes with a 6V battery.  Complete with shade and hanging hook."
41,2005-01-10,5,24.62,0.23,P41CE1LT5.jpg,EN,Flicker Lantern,"Simple to use, just requires a candle to be inserted and lit.  Windproof, lasts for hours."
42,2005-01-10,6,106.66,0.33,P42ME2RP6.jpg,EN,Husky Rope 50,11 mm diameter standard rope. Length: 50 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
43,2005-01-10,6,126.66,0.33,P42ME2RP6.jpg,EN,Husky Rope 60,11 mm diameter standard rope. Length: 60 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
44,2005-01-10,6,231.11,0.33,P44ME2RP6.jpg,EN,Husky Rope 100,11 mm diameter standard rope. Length: 100 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
45,2005-01-10,6,383.32,0.33,P44ME2RP6.jpg,EN,Husky Rope 200,11 mm diameter standard rope. Length: 200 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
46,2005-01-10,7,52.86,0.28,P46ME2SY7.jpg,EN,Granite Climbing Helmet,"This UIAA approved helmet fits adults and kids, suitable for rock and alpine use."
47,2005-01-10,7,44.83,0.31,P47ME2SY7.jpg,EN,Husky Harness,One size fits all due to extensive waist belt adjustment and fully adjustable leg loops.
48,2005-01-10,7,55.0,0.5,P47ME2SY7.jpg,EN,Husky Harness Extreme,One size fits all. Top of the range fully adjustable technical harness. Ultra high strength belay loop rated in excess of 30kN. Rear haul loop rated to 10kN.
49,2005-01-10,7,16.5,0.5,P49ME2SY7.jpg,EN,Granite Signal Mirror,Day or night signal mirror with gridded sighting hole.  6mm laminated glass. Soft carrying case included. Size: 8 x 13 cm. Weight: 400 g.
50,2005-01-10,8,2.0,0.5,P50ME2CA8.jpg,EN,Granite Carabiner,Made from 12 mm rod stock aluminum and a radius suitable for almost any rope size. Locks tight with almost any belay/rappel combination. Individually tested.
51,2005-01-10,8,35.0,0.5,P51ME2CA8.jpg,EN,Granite Belay,The Granite Belay is an ingenious single rope belay device that uses carabiner movement to brake the rope.
52,2005-01-10,8,19.0,0.5,P52ME2CA8.jpg,EN,Granite Pulley,"Light, simple and strong, a great all purpose pulley."
53,2005-01-10,8,28.55,0.28,P53ME2CA8.jpg,EN,Firefly Climbing Lamp,"This climbing lamp is water-resistant. It comes with two bulbs, standard and halogen. Includes one 6V halogen bulb and one 6V standard bulb. Weight: 200g."
54,2005-01-10,8,35.33,0.33,P54ME2CA8.jpg,EN,Firefly Charger,"Power charger for the Firefly Climbing Lamp. The charger cannot overcharge the Firefly battery, so you can leave it in the charger without worrying."
55,2005-01-10,8,4.0,0.5,P55ME2CA8.jpg,EN,Firefly Rechargeable Battery,"Rechargeable battery pack for the Firefly Climbing Lamp. Each charge gives 3 hours of light with a halogen bulb and 9 hours with standard bulb. Battery may be recharged up to 1,000 times."
56,2005-01-10,8,9.0,0.5,P56ME2CA8.jpg,EN,Granite Chalk Bag,Nylon web bag perfect for holding several sticks of chalk.
57,2005-01-10,9,40.0,0.5,P57ME2TL9.jpg,EN,Granite Ice,A general purpose mountaineering axe for snow and glacier travel. Excellent mid-weight axe. Weight: 638 g
58,2005-01-10,9,57.13,0.28,P58ME2TL9.jpg,EN,Granite Hammer,A solid hammer made with a solid hard wood handle and steel head.  Weight: 800g.
59,2005-01-10,9,46.15,0.23,P59ME2TL9.jpg,EN,Granite Shovel,Shovel has removable aluminum handle and heat treated aluminum blade.
60,2005-01-10,9,10.0,0.5,P60ME2TL9.jpg,EN,Granite Grip,"All-purpose stainless steel pliers. Sheath included. Length (closed) 12cm, (open) 16 cm. Weight: 200 g."
61,2005-01-10,9,20.0,0.5,P61ME2TL9.jpg,EN,Granite Axe,Camping axe with clear coated wood handle.
62,2005-01-10,9,47.06,0.4,P62ME2TL9.jpg,EN,Granite Extreme,"The Edge Extreme is a collapsible plier-shaped gadget, three knife blades, file and scissors, perfect for the outdoors.  Carrying case included."
63,1995-02-15,10,30.0,0.33,P63PA3WT10.jpg,EN,Mountain Man Analog,"Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal."
64,1995-02-15,10,20.0,0.5,P64PA3WT10.jpg,EN,Mountain Man Digital,"Tough rubber strap, digital face, hardened crystal, water-resistant to 50 meters."
65,1997-03-05,10,39.0,0.5,P65PA3WT10.jpg,EN,Mountain Man Deluxe,"Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters."
66,1997-03-05,10,45.0,0.5,P66PA3WT10.jpg,EN,Mountain Man Combination,"Combination watch, altimeter, compass and barometric gauge.  Heavy duty rubber strap,  hardened mineral crystal."
67,2000-10-26,10,116.19,0.51,P67PA3WT10.jpg,EN,Mountain Man Extreme,"Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
68,1995-02-15,11,46.15,0.23,P68PA3EW11.jpg,EN,Polar Sun,"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
69,1995-02-15,11,73.33,0.33,P69PA3EW11.jpg,EN,Polar Ice,Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame.
70,1997-03-05,11,80.0,0.33,P70PA3EW11.jpg,EN,Polar Sports,Six base classic nylon composite frame sunglasses with wire core temples.
71,1997-03-05,11,60.0,0.33,P71PA3EW11.jpg,EN,Polar Wave,"Acrylex lenses in the Polar Wave sunglasses absorb up to 90% of visible light, 96% ultraviolet, and 82% infrared light. Unbreakable nylon frames."
72,2000-10-26,11,72.5,0.5,P72PA3EW11.jpg,EN,Polar Extreme,Ideal for skiing and winter mountaineering. Frame is durable polyurethane with soft interior foam and adjustable woven elastic band providing an excellent fit. Weight: 139 g.
73,1995-02-15,12,8.56,0.28,P73PA3KV12.jpg,EN,Single Edge,"Single stainless steel blade folding knife. Length: (closed) 5 cm, (blade) 4.5 cm. Blade thickness 2 mm.  Weight: 90 g."
74,1995-02-15,12,11.43,0.28,P74PA3KV12.jpg,EN,Double Edge,"Double stainless steel blade folding knife. Length: (closed) 6 cm, (blades) 5.5 cm and 3 cm. Blade thickness: 2 mm. Weight: 110 g."
75,2000-10-26,12,80.0,0.28,P75PA3KV12.jpg,EN,Edge Extreme,"Multi-purpose pocketknife ruggedly constructed of stainless steel.  Includes 4 different blades, corkscrew, saw, scissors, pliers and more."
76,1995-02-15,12,23.53,0.4,P76PA3KV12.jpg,EN,Bear Edge,Knife is 33 cm long with a 20 cm blade made of surgical stainless steel. The handle is laminated wood. The custom made sheath is black leather.
77,2000-10-26,12,45.0,0.5,P77PA3KV12.jpg,EN,Bear Survival Edge,Features a 23 cm razor edge blade tempered from a special blend of stainless steel. The hollow handle has a compartment containing survival gear including a compass. Overall length: 36cm.
78,1995-02-15,13,79.19,0.2,P78PA3BN13.jpg,EN,Seeker 35,"This 7 x 35 model is economical and performs well optically. Fully coated lenses, compact and  lightweight. Rubber covered for secure and comfortable grip. Soft carrying case included."
79,1995-02-15,13,92.58,0.25,P78PA3BN13.jpg,EN,Seeker 50,Rubber coated and ergonomically designed. The wide angle of view of 10 x 50 keeps more of your subject in view at high magnification. Soft carrying case included.
80,1997-03-05,13,94.12,0.4,P80PA3BN13.jpg,EN,Seeker Extreme,"These ergonomic binoculars are light-weight and easy to hold.  Strong construction make them impervious to water, fog and thermal shocks. Soft carrying case included."
81,1997-03-05,13,40.0,0.5,P81PA3BN13.jpg,EN,Seeker Mini,"This 8 x 22 model is economical and performs well optically. Fully coated lenses, compact and  light-weight. Rubber covered for secure and comfortable grip. Soft carrying case included."
82,1997-03-05,14,20.0,0.33,P82PA3NV14.jpg,EN,Glacier Basic,Traditional magnetic compass in a stainless steel casing.
83,1997-03-05,14,56.25,0.37,P83PA3NV14.jpg,EN,Glacier Deluxe,Magnetic Compass has a large sighting mirror with v-notch allowing for quick acquisition and accurate bearings to distant landmarks.
84,1997-03-05,14,78.55,0.28,P84PA3NV14.jpg,EN,Glacier GPS,"Global Positioning System that is small, lightweight, and rugged. Incredibly easy to use, dedicated operation keys, and three user-friendly navigation screens."
85,1999-06-12,14,176.47,0.4,P85PA3NV14.jpg,EN,Glacier GPS Extreme,"Hand held GPS receiver with color display. Incredibly easy to use, three user-friendly navigation screens, and saves two routes. Up to 20 hours of battery life just on two AA batteries."
86,1995-02-15,15,2.0,0.67,P86OP4IR15.jpg,EN,BugShield Natural,"Contains no chemicals. Repels mosquitoes, black flies, biting midges, and fleas effectively. Safe for children and environmentally sound.  Active ingredient: Citronella 10%. 100 ml."
87,1995-02-15,15,2.0,0.67,P86OP4IR15.jpg,EN,BugShield Spray,"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Clear, odorless formula. 100 ml."
88,1995-02-15,15,2.0,0.7,P86OP4IR15.jpg,EN,BugShield Lotion Lite,"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Contains 8.75% active ingredient for a lighter application. Odorless cream. 100 ml."
89,1995-02-15,15,2.5,0.63,P86OP4IR15.jpg,EN,BugShield Lotion,"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Odorless cream. 100 ml."
90,1995-02-15,15,2.5,0.63,P86OP4IR15.jpg,EN,BugShield Extreme,"Highest amount of the active ingredient, 38%, for up to 10 hours of protection. Repels black flies, ticks, mosquitoes, deer flies and stable flies. Clear, odorless formula. 100 ml."
91,1995-02-15,16,2.0,0.6,P91OP4SS16.jpg,EN,Sun Blocker,"Sun Blocker is waterproof and lasts up to eight hours. It contains natural skin conditioners and moisturizers, as well as titanium dioxide for the ultimate level of protection."
92,1995-02-15,16,2.0,0.6,P91OP4SS16.jpg,EN,Sun Shelter Stick,"Easy to apply to your nose, lips, ears and other sensitive areas. Provides long-lasting protection from sun, wind and water to keep your skin soft and moist."
93,1995-02-15,16,2.0,0.6,P91OP4SS16.jpg,EN,Sun Shelter 15,SPF 15 protects against all harmful rays.
94,1995-02-15,16,2.0,0.6,P91OP4SS16.jpg,EN,Sun Shelter 30,SPF 30 provides maximum protection and is long-lasting.
95,1995-02-15,16,3.0,0.5,P91OP4SS16.jpg,EN,Sun Shield,"PABA free sunscreen, SPF 30, poison oak and ivy protectant, waterproof, insect repellent against fleas, mosquitoes, deer ticks, gnats.  Moisturizer contains Vitamin E and Lanolin."
96,1995-02-15,17,16.43,0.28,P96OP4FA17.jpg,EN,Compact Relief Kit,"A personal first aid kit is recommended for every outdoor hiker or camper. Contains basic wound management, advanced infectious control, and more. Size: 17 x 10 x 7 cm. Weight: 0.3 kg."
97,1997-03-05,17,25.0,0.28,P96OP4FA17.jpg,EN,Deluxe Family Relief Kit,"A complete medical kit suitable for families with children.  Contains cough syrup, oral rehydration salts, advanced wound management, and more.  Size: 22 x 12 x 7 cm. Weight: 0.6 kg."
98,1995-02-15,17,3.0,0.5,P98OP4FA17.jpg,EN,Calamine Relief,"Use the Calamine Relief for allergic skin reactions, helps combat itching and swelling."
99,1995-02-15,17,2.0,0.6,P99OP4FA17.jpg,EN,Aloe Relief,"Perfect for minor burns and sunburn, the aloe vera provides quick relief."
100,1995-02-15,17,3.0,0.5,P100OP4FA17.jpg,EN,Insect Bite Relief,The Insect Bite Relief helps the itching and swelling caused by most insect bites.
101,2003-12-15,18,305.54,0.43,P101GE5IR18.jpg,EN,Hailstorm Steel Irons,Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.
102,2003-12-10,18,380.95,0.51,P102GE5IR18.jpg,EN,Hailstorm Titanium Irons,Made entirely of pure titanium. The ultimate in golf club technology. Lightweight graphite shaft and light overall weight. Includes 3 iron to Pitching Wedge.
103,2003-12-10,18,277.76,0.43,P101GE5IR18.jpg,EN,Lady Hailstorm Steel Irons,Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.
104,2003-12-18,18,333.32,0.51,P102GE5IR18.jpg,EN,Lady Hailstorm Titanium Irons,Made entirely of pure titanium. A wider sole and loft system to help you get the ball airborne with less effort. Includes 3 iron to Pitching Wedge.
105,2003-12-27,19,555.9,0.55,P105GE5WD19.jpg,EN,Hailstorm Titanium Woods Set,"Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel.  Includes 3 Wood, 5 Wood and 12 degree driver."
106,2003-12-05,19,536.09,0.43,P106GE5WD19.jpg,EN,Hailstorm Steel Woods Set,"These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver."
107,2004-01-13,19,509.07,0.55,P105GE5WD19.jpg,EN,Lady Hailstorm Titanium Woods Set,"Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel. Includes 3 Wood, 5 Wood and 12 degree driver."
108,2003-12-27,19,472.22,0.43,P106GE5WD19.jpg,EN,Lady Hailstorm Steel Woods Set,"These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver."
109,2003-12-10,20,35.0,0.43,P109GE5PT20.jpg,EN,Course Pro Putter,High quality putter is cast  from a soft yellow brass alloy to give the putter its uniquely soft feel at impact.
110,2003-12-10,20,60.0,0.5,P110GE5PT20.jpg,EN,Blue Steel Putter,This premium putter has copper mixed with lightweight aluminum for a smooth touch.
111,2003-12-15,20,81.8,0.55,P111GE5PT20.jpg,EN,Blue Steel Max Putter,Putter head is composed from a single piece of the softest carbon steel for optimum feel.
112,2004-01-10,21,6.0,0.33,P112GE5GA21.jpg,EN,Course Pro Golf and Tee Set,Set includes two premium golf ball and an assortment of wooden golf tees.
113,2004-01-15,21,6.0,0.5,P113GE5GA21.jpg,EN,Course Pro Umbrella,Large red and white patterned golf umbrella.
114,2003-12-15,21,80.0,0.6,P114GE5GA21.jpg,EN,Course Pro Golf Bag,High quality golf bag that includes carrying strap and large front pocket.
115,2003-12-27,21,5.0,0.5,P115GE5GA21.jpg,EN,Course Pro Gloves,Durable nylon constructed gloves with stitched leather palm.
